campaign_id,sqlite_version,run,cve_id,found,evidence
sqlite-3.32.2_v35_run2,3.32.2,2,CVE-2020-13435,N/A,wrong_version
sqlite-3.32.2_v35_run2,3.32.2,2,CVE-2020-15358,yes,"sql_pattern=INTERSECT sql='CREATE TABLE IF NOT EXISTS p(a REAL, c1 AS(c1) UNIQUE); VALUES (CURRENT_DATE) IN'"
sqlite-3.32.2_v35_run3,3.32.2,3,CVE-2020-13871,no,
sqlite-3.32.2_v35_run3,3.32.2,3,CVE-2020-13434,N/A,wrong_version
sqlite-3.32.2_v35_run3,3.32.2,3,CVE-2020-9327,N/A,wrong_version
sqlite-3.32.2_v35_run3,3.32.2,3,CVE-2020-13435,N/A,wrong_version
sqlite-3.32.2_v35_run3,3.32.2,3,CVE-2020-15358,yes,"sql_pattern=INTERSECT sql='CREATE TABLE IF NOT EXISTS p(a BLOB, c1 AS(c1) UNIQUE); VALUES (CURRENT_TIMESTAM'"
sqlite-3.32.2_v35_run4,3.32.2,4,CVE-2020-13871,no,
sqlite-3.32.2_v35_run4,3.32.2,4,CVE-2020-13434,N/A,wrong_version
sqlite-3.32.2_v35_run4,3.32.2,4,CVE-2020-9327,N/A,wrong_version
sqlite-3.32.2_v35_run4,3.32.2,4,CVE-2020-13435,N/A,wrong_version
sqlite-3.32.2_v35_run4,3.32.2,4,CVE-2020-15358,yes,sql_pattern=INTERSECT sql='CREATE TABLE IF NOT EXISTS p(a BLOB NOT NULL); CREATE VIEW IF NOT EXISTS v1 AS S'
sqlite-3.32.2_v35_run5,3.32.2,5,CVE-2020-13871,no,
sqlite-3.32.2_v35_run5,3.32.2,5,CVE-2020-13434,N/A,wrong_version
sqlite-3.32.2_v35_run5,3.32.2,5,CVE-2020-9327,N/A,wrong_version
sqlite-3.32.2_v35_run5,3.32.2,5,CVE-2020-13435,N/A,wrong_version
sqlite-3.32.2_v35_run5,3.32.2,5,CVE-2020-15358,yes,"sql_pattern=INTERSECT sql='CREATE TABLE IF NOT EXISTS p(a INT, b AS(b) NOT NULL); VALUES (FALSE) INTERSECT '"
