campaign_id,grammar,sqlite_version,run,bug_hash,bug_type,bug_subtype,key_function,crash_count,sample_sql
v3.3_sqlite-3.31.1_run2,v3.3,sqlite-3.31.1,2,8e36b1ab15ffac2b,ubsan,null-pointer,sqlite3Fts5GetTokenizer,33,"CREATE VIRTUAL TABLE IF NOT EXISTS fts_t1 USING fts5(b, c3); INSERT INTO p VALUES (last_insert_rowid() IN (CURRENT_TIMESTAMP NOT NULL COLLATE RTRIM) > TRUE < RAISE(IGNORE) COLLATE RTRIM NOT LIKE TRUE "
v3.3_sqlite-3.31.1_run2,v3.3,sqlite-3.31.1,2,b43f365a68048314,ubsan,signed-integer-overflow,sqlite3_str_vappendf,16,"SELECT printf('%.*f', 2147483647, -1e308);"
v3.3_sqlite-3.31.1_run2,v3.3,sqlite-3.31.1,2,7264a343681aca95,ubsan,signed-integer-overflow,sqlite3_str_vappendf,10,"SELECT printf('%.*g', 2147483647, 0.01);"
v3.3_sqlite-3.31.1_run3,v3.3,sqlite-3.31.1,3,8e36b1ab15ffac2b,ubsan,null-pointer,sqlite3Fts5GetTokenizer,48,"CREATE VIRTUAL TABLE IF NOT EXISTS fts_t1 USING fts5(b, _rowid_, b, a); INSERT INTO t1 VALUES (json_array_length(NULL IS NOT CURRENT_DATE == CURRENT_TIMESTAMP) IS CURRENT_TIMESTAMP NOTNULL NOT BETWEEN"
v3.3_sqlite-3.31.1_run3,v3.3,sqlite-3.31.1,3,b43f365a68048314,ubsan,signed-integer-overflow,sqlite3_str_vappendf,22,"SELECT printf('%.*f', 2147483647, -1e308); SELECT substr('N- ', 9223372036854775807); CREATE TABLE IF NOT EXISTS p(b NUMERIC CHECK ((FALSE <= NULL)), b REAL NOT NULL); CREATE TABLE IF NOT EXISTS q(_ro"
v3.3_sqlite-3.31.1_run3,v3.3,sqlite-3.31.1,3,7264a343681aca95,ubsan,signed-integer-overflow,sqlite3_str_vappendf,16,"SELECT printf('%.*g', 2147483647, 0.01); CREATE TABLE IF NOT EXISTS p(c2 INT CHECK (+NULL IS NULL & TRUE LIKE TRUE GLOB ~FALSE != CURRENT_DATE), a INT UNIQUE, b TEXT CHECK (+lead(total_changes() IS FA"
v3.3_sqlite-3.31.1_run4,v3.3,sqlite-3.31.1,4,8e36b1ab15ffac2b,ubsan,null-pointer,sqlite3Fts5GetTokenizer,64,"CREATE VIRTUAL TABLE IF NOT EXISTS fts_t1 USING fts5(c2, c2, c3); INSERT OR ABORT INTO q VALUES (CURRENT_TIME -> changes() IS NOT NULL <> FALSE ->> NULL >> RAISE(IGNORE) -> CURRENT_TIME COLLATE RTRIM,"
v3.3_sqlite-3.31.1_run4,v3.3,sqlite-3.31.1,4,b43f365a68048314,ubsan,signed-integer-overflow,sqlite3_str_vappendf,47,"SELECT printf('%.*f', 2147483647, 1e308); CREATE TABLE IF NOT EXISTS p(c3 BLOB GENERATED ALWAYS AS (hex(FALSE AND CURRENT_DATE IS NULL) FILTER (WHERE NOT last_insert_rowid() || +last_value(NOT CURRENT"
v3.3_sqlite-3.31.1_run4,v3.3,sqlite-3.31.1,4,7264a343681aca95,ubsan,signed-integer-overflow,sqlite3_str_vappendf,10,"SELECT printf('%.*g', 2147483647, 0.01);"
v3.3_sqlite-3.31.1_run4,v3.3,sqlite-3.31.1,4,3e9719a6638492ac,ubsan,float-cast-overflow,alsoAnInt,1,CREATE TABLE IF NOT EXISTS p(c3 FLOAT PRIMARY KEY); CREATE TABLE IF NOT EXISTS q(c1 NUMERIC GENERATED ALWAYS AS (FALSE || TRUE || TRUE || TRUE || TRUE || TRUE || TRUE || TRUE || TRUE || TRUE || TRUE |
v3.3_sqlite-3.31.1_run4,v3.3,sqlite-3.31.1,4,f959748d4f4b6301,ubsan,float-cast-overflow,alsoAnInt,1,CREATE TABLE IF NOT EXISTS p(c3 FLOAT PRIMARY KEY); CREATE TABLE IF NOT EXISTS q(c1 NUMERIC GENERATED ALWAYS AS (FALSE || TRUE || TRUE || TRUE || TRUE || TRUE || TRUE || TRUE || TRUE || TRUE || TRUE |
v3.3_sqlite-3.31.1_run5,v3.3,sqlite-3.31.1,5,8e36b1ab15ffac2b,ubsan,null-pointer,sqlite3Fts5GetTokenizer,61,"SELECT printf('%.*f', -2147483649, 1.0); CREATE VIRTUAL TABLE IF NOT EXISTS fts_t1 USING fts5(c3, c3, a, a); INSERT INTO q DEFAULT VALUES; SELECT (SELECT RAISE(IGNORE) AS b_s__2k_5 ORDER BY CURRENT_TI"
v3.3_sqlite-3.31.1_run5,v3.3,sqlite-3.31.1,5,7264a343681aca95,ubsan,signed-integer-overflow,sqlite3_str_vappendf,15,"SELECT printf('%.*g', -2147483649, 0.01);"
v3.3_sqlite-3.31.1_run5,v3.3,sqlite-3.31.1,5,b43f365a68048314,ubsan,signed-integer-overflow,sqlite3_str_vappendf,11,"SELECT printf('%.*f', -2147483649, 1e308);"
ebnf_sqlite-3.32.2_run1,ebnf,sqlite-3.32.2,1,a57b932b08c49ed6,ubsan,null-pointer,sqlite3Fts5GetTokenizer,134,PRAGMA wal_checkpoint(RESTART); CREATE VIRTUAL TABLE IF NOT EXISTS fts_t1 USING fts5(_rowid_);
ebnf_sqlite-3.32.2_run2,ebnf,sqlite-3.32.2,2,a57b932b08c49ed6,ubsan,null-pointer,sqlite3Fts5GetTokenizer,129,"CREATE VIRTUAL TABLE IF NOT EXISTS fts_t1 USING fts5(c3, c2, c2);"
ebnf_sqlite-3.32.2_run3,ebnf,sqlite-3.32.2,3,a57b932b08c49ed6,ubsan,null-pointer,sqlite3Fts5GetTokenizer,116,CREATE VIRTUAL TABLE IF NOT EXISTS fts_t1 USING fts5(_rowid_);
ebnf_sqlite-3.32.2_run4,ebnf,sqlite-3.32.2,4,a57b932b08c49ed6,ubsan,null-pointer,sqlite3Fts5GetTokenizer,124,"CREATE VIRTUAL TABLE IF NOT EXISTS fts_t1 USING fts5(c1, _rowid_);"
ebnf_sqlite-3.32.2_run5,ebnf,sqlite-3.32.2,5,a57b932b08c49ed6,ubsan,null-pointer,sqlite3Fts5GetTokenizer,93,"CREATE VIRTUAL TABLE IF NOT EXISTS fts_t1 USING fts5(c2, c3); CREATE VIRTUAL TABLE IF NOT EXISTS fts_t2 USING fts3(_rowid_);"
v3.3_sqlite-3.32.2_run1,v3.3,sqlite-3.32.2,1,a57b932b08c49ed6,ubsan,null-pointer,sqlite3Fts5GetTokenizer,67,"CREATE VIRTUAL TABLE IF NOT EXISTS fts_t1 USING fts5(c2, c1, c3); INSERT OR REPLACE INTO p VALUES (CASE +NULL IS RAISE(IGNORE) + CURRENT_DATE NOT NULL WHEN 0 THEN CAST(TRUE LIKE ~FALSE > TRUE NOT NULL"
v3.3_sqlite-3.32.2_run2,v3.3,sqlite-3.32.2,2,a57b932b08c49ed6,ubsan,null-pointer,sqlite3Fts5GetTokenizer,36,"CREATE VIRTUAL TABLE IF NOT EXISTS fts_t1 USING fts5(c1, a); INSERT INTO q VALUES (-7.9007856122e-078411651477452210470699860256149924490578 + NULL OR RAISE(IGNORE) IS CURRENT_TIME % CURRENT_TIME IS N"
v3.3_sqlite-3.32.2_run3,v3.3,sqlite-3.32.2,3,a57b932b08c49ed6,ubsan,null-pointer,sqlite3Fts5GetTokenizer,51,"CREATE VIRTUAL TABLE IF NOT EXISTS fts_t1 USING fts5(a); INSERT INTO p DEFAULT VALUES; SELECT p.*, CASE WHEN CURRENT_TIME = CURRENT_TIMESTAMP IS NULL THEN NULL END NOT IN (+CURRENT_TIMESTAMP, NULL) GL"
v3.3_sqlite-3.32.2_run4,v3.3,sqlite-3.32.2,4,a57b932b08c49ed6,ubsan,null-pointer,sqlite3Fts5GetTokenizer,48,"CREATE VIRTUAL TABLE IF NOT EXISTS fts_t1 USING fts5(c2, c2, _rowid_, c1, c2); INSERT INTO p VALUES (json_object('', (CURRENT_TIMESTAMP) IS NOT TRUE LIKE CURRENT_DATE ISNULL LIKE CAST(CURRENT_TIMESTAM"
v3.3_sqlite-3.32.2_run4,v3.3,sqlite-3.32.2,4,082d290a01ade500,ubsan,float-cast-overflow,alsoAnInt,2,CREATE TABLE IF NOT EXISTS p(c3 BLOB NOT NULL); CREATE TABLE IF NOT EXISTS q(c3 FLOAT NOT NULL); INSERT OR ROLLBACK INTO q VALUES (hex(hex(hex(hex(hex(hex(hex(hex(hex(CURRENT_DATE)))))))))); PRAGMA qu
v3.3_sqlite-3.32.2_run4,v3.3,sqlite-3.32.2,4,e4da1461ccf620ab,ubsan,float-cast-overflow,alsoAnInt,2,CREATE TABLE IF NOT EXISTS p(c3 INT UNIQUE); CREATE TABLE IF NOT EXISTS q(rowid FLOAT CHECK (CURRENT_TIMESTAMP BETWEEN FALSE AND FALSE)); INSERT OR ROLLBACK INTO q VALUES (hex(hex(CURRENT_DATE))); PRA
v3.3_sqlite-3.32.2_run4,v3.3,sqlite-3.32.2,4,db1c6705639ceda6,ubsan,float-cast-overflow,alsoAnInt,1,CREATE TABLE IF NOT EXISTS p(c3 BLOB NOT NULL); CREATE TABLE IF NOT EXISTS q(c3 FLOAT NOT NULL); INSERT OR ROLLBACK INTO q VALUES (hex(hex(hex(CURRENT_DATE)))); PRAGMA quick_check;
v3.3_sqlite-3.32.2_run4,v3.3,sqlite-3.32.2,4,6cc400f1164c2563,ubsan,float-cast-overflow,alsoAnInt,1,CREATE TABLE IF NOT EXISTS p(c3 BLOB NOT NULL); CREATE TABLE IF NOT EXISTS q(c3 FLOAT NOT NULL); INSERT OR ROLLBACK INTO q VALUES (hex(hex(hex(hex(hex(CURRENT_DATE << CURRENT_DATE)))))); PRAGMA quick_
v3.3_sqlite-3.32.2_run5,v3.3,sqlite-3.32.2,5,a57b932b08c49ed6,ubsan,null-pointer,sqlite3Fts5GetTokenizer,45,CREATE VIRTUAL TABLE IF NOT EXISTS fts_t1 USING fts5(c2); INSERT INTO t3 VALUES ((CURRENT_TIME)); SELECT ~CURRENT_DATE AS q_ FROM r JOIN t3 d ON NULL NOT NULL REGEXP random() COLLATE NOCASE LIKE NULL 
